TF_name	TF_family	Identical_PWM	Homologous_PWM	Relatively_Homologous_PWM	ModCRE	AlphaFold	Best_annotation_level	Best_PWM_or_model	N_nonempty_annotation_columns
E9PMZ0	Myb_DNA-bind_4,Myb_DNA-bind_6,RST,Myb_DNA-bind_2,LMSTEN,Spore_III_AB,Myb_DNA-binding	MA0100.3					Identical_PWM	MA0100.3	1
E9PN43	Myb_DNA-bind_4,Myb_DNA-bind_6,RST,Myb_DNA-bind_2,LMSTEN,Spore_III_AB,Myb_DNA-binding		M09260_2.00 (99.2%);M09261_2.00 (92.1%);M11069_2.00 (83.2%);MA0100.1 (92.1%);MA0100.3 (98.6%);MA0777.1 (74.2%)				Homologous_PWM	M09260_2.00 (99.2%);M09261_2.00 (92.1%);M11069_2.00 (83.2%);MA0100.1 (92.1%);MA0100.3 (98.6%);MA0777.1 (74.2%)	1
E9PN75	SAM_PNT,Ste50p-SAM	M09053_2.00					Identical_PWM	M09053_2.00	1
E9PN92	Myb_DNA-bind_4,Myb_DNA-bind_6,RST,Myb_DNA-bind_2,LMSTEN,Spore_III_AB,Myb_DNA-binding		M09260_2.00 (99.1%);M09261_2.00 (92.8%);M11069_2.00 (83.3%);MA0100.1 (92.8%);MA0100.3 (99.4%);MA0777.1 (74.2%)				Homologous_PWM	M09260_2.00 (99.1%);M09261_2.00 (92.8%);M11069_2.00 (83.3%);MA0100.1 (92.8%);MA0100.3 (99.4%);MA0777.1 (74.2%)	1
E9PNC7	DUF2201_N,Histone,Leo1,CBFD_NFYB_HMF				TFS_tr_E9PNC7_E9PNC7_HUMAN:13:53_4awl_C_1.meme;TFS_tr_E9PNC7_E9PNC7_HUMAN:11:53_4g92_C_1.meme		ModCRE	TFS_tr_E9PNC7_E9PNC7_HUMAN:13:53_4awl_C_1.meme;TFS_tr_E9PNC7_E9PNC7_HUMAN:11:53_4g92_C_1.meme	1
E9PNH6	Myb_DNA-bind_4,Myb_DNA-bind_6,RST,Myb_DNA-bind_2,LMSTEN,Spore_III_AB,Myb_DNA-binding	M09260_2.00					Identical_PWM	M09260_2.00	1
E9PNK5	RHD	M02711_2.00					Identical_PWM	M02711_2.00	1
E9PNV4	RHD	MA0107.1					Identical_PWM	MA0107.1	1
E9PNZ6	zf-C2H2_4,zf-C2H2,C1_3,zf-C2H2_jaz,BHD_2,XPA_N,zf-H2C2_2,Yippee,C1_1,C1_4,HTH_Tnp_ISL3,Zn_Tnp_IS1595,zf-C2H2_6,Prok-RING_1,KRAB,DZR,LIM,DNA_RNApol_7kD,CxxC_CxxC_SSSS,zf-C2HC_2		M08371_2.00 (92.5%)				Homologous_PWM	M08371_2.00 (92.5%)	1
E9PPA1	Hormone_recep			MA0494.1 (66.4%)			Relatively_Homologous_PWM	MA0494.1 (66.4%)	1
E9PPI7	Fork_head	MA1103.1					Identical_PWM	MA1103.1	1
E9PPL8	Myb_DNA-bind_4,Myb_DNA-binding,Myb_DNA-bind_6,Myb_DNA-bind_2,LMSTEN,Spore_III_AB,Cmyb_C		M09260_2.00 (97.9%);M09261_2.00 (84.5%);MA0100.1 (72.3%);MA0100.3 (79.4%)				Homologous_PWM	M09260_2.00 (97.9%);M09261_2.00 (84.5%);MA0100.1 (72.3%);MA0100.3 (79.4%)	1
E9PPS9	SAM_PNT,Ste50p-SAM	M09053_2.00					Identical_PWM	M09053_2.00	1
E9PQ56	RRM_1,RRM_6,OB_RNB,RRM_3,RRM_5					e9pq56.af3.1.meme;e9pq56.af3.5.meme;e9pq56.af3.3.meme;e9pq56.af3.0.meme;e9pq56.af3.4.meme;e9pq56.af3.2.meme	AlphaFold	e9pq56.af3.1.meme;e9pq56.af3.5.meme;e9pq56.af3.3.meme;e9pq56.af3.0.meme;e9pq56.af3.4.meme;e9pq56.af3.2.meme	1
E9PQA2		MA0093.1					Identical_PWM	MA0093.1	1
E9PQQ2	Cmyb_C,Myb_DNA-bind_4,Myb_DNA-bind_6,Myb_DNA-bind_2,LMSTEN,Spore_III_AB,Myb_DNA-binding		M09260_2.00 (97.9%);M09261_2.00 (75.1%);M11069_2.00 (83.2%);MA0100.1 (91.9%);MA0100.3 (99.6%)				Homologous_PWM	M09260_2.00 (97.9%);M09261_2.00 (75.1%);M11069_2.00 (83.2%);MA0100.1 (91.9%);MA0100.3 (99.6%)	1
E9PQR6	SAM_PNT,Ste50p-SAM	MA0598.1					Identical_PWM	MA0598.1	1
E9PQS6	RHD	MA0107.1					Identical_PWM	MA0107.1	1
E9PQX0	SAM_PNT,Ste50p-SAM	M09053_2.00					Identical_PWM	M09053_2.00	1
E9PQX9	TAF4,Histone,CBFD_NFYB_HMF,DUF2201_N				TFS_tr_E9PQX9_E9PQX9_HUMAN:1:67_6r2v_C_1.meme;TFS_tr_E9PQX9_E9PQX9_HUMAN:1:67_4awl_C_1.meme;TFS_tr_E9PQX9_E9PQX9_HUMAN:1:67_7cvq_A_1.meme;TFS_tr_E9PQX9_E9PQX9_HUMAN:1:66_4wzs_A_1.meme;TFS_tr_E9PQX9_E9PQX9_HUMAN:1:55_1jfi_A_1.meme;TFS_tr_E9PQX9_E9PQX9_HUMAN:1:67_4g92_C_1.meme		ModCRE	TFS_tr_E9PQX9_E9PQX9_HUMAN:1:67_6r2v_C_1.meme;TFS_tr_E9PQX9_E9PQX9_HUMAN:1:67_4awl_C_1.meme;TFS_tr_E9PQX9_E9PQX9_HUMAN:1:67_7cvq_A_1.meme;TFS_tr_E9PQX9_E9PQX9_HUMAN:1:66_4wzs_A_1.meme;TFS_tr_E9PQX9_E9PQX9_HUMAN:1:55_1jfi_A_1.meme;TFS_tr_E9PQX9_E9PQX9_HUMAN:1:67_4g92_C_1.meme	1
E9PRX2	RHD	MA0107.1					Identical_PWM	MA0107.1	1
E9PSE3	IRF-3	MA0772.1					Identical_PWM	MA0772.1	1
F1D8N1	Hormone_recep,zf-C4		MA0494.1 (91.4%)				Homologous_PWM	MA0494.1 (91.4%)	1
F1D8N3	ERbeta_N,Oest_recep,Hormone_recep,zf-C4	MA0258.1					Identical_PWM	MA0258.1	1
F1D8N4	Hormone_recep,GCR,zf-C4	MA0113.1					Identical_PWM	MA0113.1	1
F1D8N5	zf-C3HC4_2,Hormone_recep,zf-C4	MA0007.2					Identical_PWM	MA0007.2	1
F1D8N6	Hormone_recep,zf-C4	MA0160.1					Identical_PWM	MA0160.1	1
F1D8N9	Hormone_recep,zf-C4	M09277_2.00					Identical_PWM	M09277_2.00	1
F1D8P1	Hormone_recep,Troponin-I_N,zf-C4		M03392_2.00 (99.7%);M03424_2.00 (78.2%);M03432_2.00 (80.1%);M05563_2.00 (85.7%);M09277_2.00 (84.4%);MA0159.1 (80.6%);MA0857.1 (83.1%);MA0859.1 (96.2%);MA1552.1 (85.0%);MA1553.1 (97.0%)				Homologous_PWM	M03392_2.00 (99.7%);M03424_2.00 (78.2%);M03432_2.00 (80.1%);M05563_2.00 (85.7%);M09277_2.00 (84.4%);MA0159.1 (80.6%);MA0857.1 (83.1%);MA0859.1 (96.2%);MA1552.1 (85.0%);MA1553.1 (97.0%)	1
F1D8P2	Hormone_recep,PAN_3,zf-C4	M05660_2.00					Identical_PWM	M05660_2.00	1
F1D8P6	Hormone_recep,zf-C4	M05621_2.00					Identical_PWM	M05621_2.00	1
F1D8P7	Hormone_recep,CBFNT,zf-C4		MA0115.1 (99.7%)				Homologous_PWM	MA0115.1 (99.7%)	1
F1D8P8	Hormone_recep,zf-C4	MA0074.1					Identical_PWM	MA0074.1	1
F1D8P9	Hormone_recep,zf-C4	M09283_2.00					Identical_PWM	M09283_2.00	1
F1D8Q4	Foamy_virus_ENV,Hormone_recep,zf-C4	MA0484.1					Identical_PWM	MA0484.1	1
F1D8Q5	Nuc_recep-AF1,Hormone_recep,zf-C4	MA0065.1					Identical_PWM	MA0065.1	1
F1D8Q7	Nuc_recep-AF1,Hormone_recep,zf-C4	MA0856.1					Identical_PWM	MA0856.1	1
F1D8Q9	Hormone_recep,zf-C4	M00371_2.00					Identical_PWM	M00371_2.00	1
F1D8R0	Hormone_recep,zf-C4	MA1111.1					Identical_PWM	MA1111.1	1
F1D8R3	Hormone_recep,zf-C4	MA1539.1					Identical_PWM	MA1539.1	1
F1D8R5	GAT,Hormone_recep,zf-C4	MA0643.1					Identical_PWM	MA0643.1	1
F1D8R6	GAT,Hormone_recep,zf-C4	M09296_2.00					Identical_PWM	M09296_2.00	1
F1D8R8	Hormone_recep,UPF0547,zf-C3HC4_2,zf-P11,zf-C4	MA1540.1					Identical_PWM	MA1540.1	1
F1D8R9	zf-RING_2,Hormone_recep,zf-C4		M05590_2.00 (91.4%);M08226_2.00 (74.5%);M09616_2.00 (90.9%);MA0505.1 (90.9%)				Homologous_PWM	M05590_2.00 (91.4%);M08226_2.00 (74.5%);M09616_2.00 (90.9%);MA0505.1 (90.9%)	1
F1D8S0	Hormone_recep,zf-C4	MA1541.1					Identical_PWM	MA1541.1	1
F1D8S2	Foamy_virus_ENV,Hormone_recep,Se-cys_synth_N,zf-C4		M03426_2.00 (96.4%);MA0114.1 (97.6%);MA0114.3 (93.4%);MA0484.1 (77.6%)				Homologous_PWM	M03426_2.00 (96.4%);MA0114.1 (97.6%);MA0114.3 (93.4%);MA0484.1 (77.6%)	1
F1D8S3	ISAV_HA,Hormone_recep,zf-C4	MA1531.1					Identical_PWM	MA1531.1	1
F1D8S4	Hormone_recep,zf-C4	MA1148.1					Identical_PWM	MA1148.1	1
F1D8S6	FadA,DUF1140,Hormone_recep,CAP_N,zf-C4	MA1552.1					Identical_PWM	MA1552.1	1
F1D8S7	Hormone_recep,zf-C4	MA1550.1					Identical_PWM	MA1550.1	1
F1D8T0	Foamy_virus_ENV,Hormone_recep,Se-cys_synth_N,zf-C4	MA0114.1					Identical_PWM	MA0114.1	1
F1D8T1	Foamy_virus_ENV,Hormone_recep,Se-cys_synth_N,zf-C4	MA0114.1					Identical_PWM	MA0114.1	1
F1DAL0	Hormone_recep,zf-C4		MA0071.1 (99.5%)				Homologous_PWM	MA0071.1 (99.5%)	1
F1DAL1	Hormone_recep,zf-C4	MA1110.1					Identical_PWM	MA1110.1	1
F1DAL2	Hormone_recep,zf-C4		MA0160.1 (95.8%)				Homologous_PWM	MA0160.1 (95.8%)	1
F1DAL3	Hormone_recep,zf-C4		M09275_2.00 (75.0%);M09283_2.00 (99.3%);MA1533.1 (99.0%)				Homologous_PWM	M09275_2.00 (75.0%);M09283_2.00 (99.3%);MA1533.1 (99.0%)	1
F1DAL4	Hormone_recep,Prok-RING_2,Mac,YdjO,PAPA-1,zf-C4		MA1534.1 (97.4%)				Homologous_PWM	MA1534.1 (97.4%)	1
F1DAL6	XS,Hormone_recep,zf-C4		M00822_2.00 (94.5%);M02393_2.00 (94.2%);M05661_2.00 (99.7%);M09275_2.00 (70.0%);MA0017.1 (93.8%);MA1111.1 (86.7%)				Homologous_PWM	M00822_2.00 (94.5%);M02393_2.00 (94.2%);M05661_2.00 (99.7%);M09275_2.00 (70.0%);MA0017.1 (93.8%);MA1111.1 (86.7%)	1
F1DAL7	XS,Hormone_recep,zf-C4		M00822_2.00 (88.5%);M02393_2.00 (94.5%);M05661_2.00 (93.4%);MA0017.1 (87.9%);MA1111.1 (84.0%)				Homologous_PWM	M00822_2.00 (88.5%);M02393_2.00 (94.5%);M05661_2.00 (93.4%);MA0017.1 (87.9%);MA1111.1 (84.0%)	1
F1DAL8	XS,Hormone_recep,zf-C4		M00822_2.00 (90.7%);M02393_2.00 (94.5%);M05661_2.00 (93.7%);MA0017.1 (90.3%);MA0677.1 (70.8%);MA1111.1 (85.7%)				Homologous_PWM	M00822_2.00 (90.7%);M02393_2.00 (94.5%);M05661_2.00 (93.7%);MA0017.1 (90.3%);MA0677.1 (70.8%);MA1111.1 (85.7%)	1
F1DAL9	XS,Hormone_recep,zf-C4	M05661_2.00					Identical_PWM	M05661_2.00	1
F1DAM0	Hormone_recep,UPF0547,zf-C3HC4_2,zf-P11,zf-C4		M08226_2.00 (74.2%);MA1540.1 (91.3%)				Homologous_PWM	M08226_2.00 (74.2%);MA1540.1 (91.3%)	1
F1DAM1	Hormone_recep,zf-C4		MA1541.1 (98.9%)				Homologous_PWM	MA1541.1 (98.9%)	1
F1JVV5	pKID,bZIP_2,bZIP_1,bZIP_Maf	MA0149.1					Identical_PWM	MA0149.1	1
F1JVV6	bZIP_2,bZIP_1,bZIP_Maf	MA0149.1					Identical_PWM	MA0149.1	1
F1JVV7	Ets	MA0149.1					Identical_PWM	MA0149.1	1
F1JVV8	Ets	MA0149.1					Identical_PWM	MA0149.1	1
F1T0D0	Homeobox,TF_Otx	MA0712.1					Identical_PWM	MA0712.1	1
F1T0D1	Homeobox,TF_Otx	M09153_2.00					Identical_PWM	M09153_2.00	1
F1T0D5	Homeobox,PHF5,LIM,Homeobox_KN	M09137_2.00					Identical_PWM	M09137_2.00	1
F1T0D7	Homeobox,LIM,Homeobox_KN	M09137_2.00					Identical_PWM	M09137_2.00	1
F1T0D9	Homeobox,LIM,Homeobox_KN	M09137_2.00					Identical_PWM	M09137_2.00	1
F1T0F8	Homeobox_KN,Homeobox,PAX,HTH_Tnp_IS1	M10806_2.00					Identical_PWM	M10806_2.00	1
F1T0H3	HLH,Transformer	MA0623.2					Identical_PWM	MA0623.2	1
F1T0K5	Homeobox,Homeobox_KN,Homez	MA0723.1					Identical_PWM	MA0723.1	1
F2VTX5	zf-C2H2_4,zf-C2H2,zf-BED,zf-C2H2_jaz,zf-met,zf-H2C2_2		M00224_2.00 (83.5%);M04430_2.00 (77.1%);M04463_2.00 (99.3%);M06169_2.00 (75.9%);M09008_2.00 (79.5%);MA0039.1 (98.2%);MA0039.3 (93.3%);MA0493.1 (78.5%);MA0599.1 (80.7%);MA0742.1 (77.1%);MA1515.1 (88.3%);MA1517.1 (73.5%)				Homologous_PWM	M00224_2.00 (83.5%);M04430_2.00 (77.1%);M04463_2.00 (99.3%);M06169_2.00 (75.9%);M09008_2.00 (79.5%);MA0039.1 (98.2%);MA0039.3 (93.3%);MA0493.1 (78.5%);MA0599.1 (80.7%);MA0742.1 (77.1%);MA1515.1 (88.3%);MA1517.1 (73.5%)	1
F2YGU2	Flagellin_N,Hormone_recep,zf-C4	M05669_2.00					Identical_PWM	M05669_2.00	1
F2Z371	THAP				TFS_tr_F2Z371_F2Z371_HUMAN:1:90_2ko0_A_1.meme;TFS_tr_F2Z371_F2Z371_HUMAN:1:90_2l1g_A_1.meme		ModCRE	TFS_tr_F2Z371_F2Z371_HUMAN:1:90_2ko0_A_1.meme;TFS_tr_F2Z371_F2Z371_HUMAN:1:90_2l1g_A_1.meme	1
F2Z381	Homeobox_KN,Homeobox,Pou,DUF521	MA1115.1					Identical_PWM	MA1115.1	1
F2Z3D5	IRF,IRF-3		M03334_2.00 (99.7%);M05543_2.00 (78.5%);M09243_2.00 (92.8%);MA1419.1 (99.7%)				Homologous_PWM	M03334_2.00 (99.7%);M05543_2.00 (78.5%);M09243_2.00 (92.8%);MA1419.1 (99.7%)	1
F4ZW62	DZF						Unannotated		0
F4ZW63	DZF						Unannotated		0
F5ATB8	Hormone_recep,GCR,zf-C4	M07987_2.00					Identical_PWM	M07987_2.00	1
F5GWL1		M11309_2.00					Identical_PWM	M11309_2.00	1
F5GWT5	zf-C4	MA0592.1					Identical_PWM	MA0592.1	1
F5GXF0	Hormone_recep,zf-C4	M05604_2.00					Identical_PWM	M05604_2.00	1
F5GY04	zf-C2H2_4,zf-C2H2,DUF2163,zf-C2H2_jaz,Flag1_repress,zf-met,zf-H2C2_2,Cas_DxTHG				TFS_tr_F5GY04_F5GY04_HUMAN:926:977_5keb_A_1.meme;TFS_tr_F5GY04_F5GY04_HUMAN:920:971_1g2f_C_1.meme;TFS_tr_F5GY04_F5GY04_HUMAN:920:972_7txc_E_1.meme;TFS_tr_F5GY04_F5GY04_HUMAN:926:977_6vtx_A_1.meme		ModCRE	TFS_tr_F5GY04_F5GY04_HUMAN:926:977_5keb_A_1.meme;TFS_tr_F5GY04_F5GY04_HUMAN:920:971_1g2f_C_1.meme;TFS_tr_F5GY04_F5GY04_HUMAN:920:972_7txc_E_1.meme;TFS_tr_F5GY04_F5GY04_HUMAN:926:977_6vtx_A_1.meme	1
F5GY10	HLH		M03593_2.00 (76.2%);M07806_2.00 (99.7%);MA0521.1 (95.1%);MA1648.1 (95.1%)				Homologous_PWM	M03593_2.00 (76.2%);M07806_2.00 (99.7%);MA0521.1 (95.1%);MA1648.1 (95.1%)	1
F5GYS8	Homeobox,Homeobox_KN	MA0498.2					Identical_PWM	MA0498.2	1
F5GZG9	zf-C3HC4_2,Gag_spuma,Androgen_recep,zf-C4	MA0007.2					Identical_PWM	MA0007.2	1
F5GZI2	Homeobox,Homeobox_KN,Homez	M09139_2.00					Identical_PWM	M09139_2.00	1
F5H032	zf-C2H2_4,C1_4,zf-C2H2,Zn_ribbon_recom,TFIIS_C,DNA_RNApol_7kD,C1_3,zf-C2H2_jaz,YhfH,KRAB,XPA_N,zf-H2C2_2,CxxC_CxxC_SSSS,HTH_Tnp_ISL3,Zn_Tnp_IS1595,zf-MYND,zf-C2H2_6,BolA		M00939_2.00 (70.5%);M00944_2.00 (71.7%);M00958_2.00 (70.5%);M00960_2.00 (70.4%)				Homologous_PWM	M00939_2.00 (70.5%);M00944_2.00 (71.7%);M00958_2.00 (70.5%);M00960_2.00 (70.4%)	1
F5H0A9	zf-C2H2_4,zf-C2H2,zf-C2H2_jaz,KRAB,zf-H2C2_2,CxxC_CxxC_SSSS,Zn_Tnp_IS1595,zf-C2H2_6		M07628_2.00 (88.7%)				Homologous_PWM	M07628_2.00 (88.7%)	1
F5H0E9	Hormone_recep	MA0592.1					Identical_PWM	MA0592.1	1
F5H0I3	HMG_box,HemX,DUF1898,Exonuc_VII_L		M03981_2.00 (81.1%);M09404_2.00 (86.5%);M11309_2.00 (95.3%);MA0087.1 (92.5%)				Homologous_PWM	M03981_2.00 (81.1%);M09404_2.00 (86.5%);M11309_2.00 (95.3%);MA0087.1 (92.5%)	1
F5H0K0	HNF-1_N,HNF-1B_C,Homeobox,HNF-1A_C,DUF2183		M00171_2.00 (93.7%);M00408_2.00 (82.3%);M09144_2.00 (96.3%);MA0046.1 (98.7%)				Homologous_PWM	M00171_2.00 (93.7%);M00408_2.00 (82.3%);M09144_2.00 (96.3%);MA0046.1 (98.7%)	1
F5H0V4	DivIC,HLH,Perilipin,IncA,CP12,DUF342,Troponin,DUF904,BicD		M01743_2.00 (81.1%);MA0622.1 (81.1%)				Homologous_PWM	M01743_2.00 (81.1%);MA0622.1 (81.1%)	1
F5H1B7	bZIP_2,bZIP_1,bZIP_Maf	M04008_2.00					Identical_PWM	M04008_2.00	1
F5H290	zf-C2H2_4,C1_4,zf-C2H2,DNA_RNApol_7kD,zf-C2H2_jaz,XPA_N,zf-H2C2_2,CxxC_CxxC_SSSS,HTH_Tnp_ISL3,zf-C2H2_6,BolA	M07598_2.00					Identical_PWM	M07598_2.00	1
F5H2A4	AT_hook					f5h2a4.af3.4.meme;f5h2a4.af3.5.meme;f5h2a4.af3.2.meme;f5h2a4.af3.0.meme;f5h2a4.af3.1.meme;f5h2a4.af3.3.meme	AlphaFold	f5h2a4.af3.4.meme;f5h2a4.af3.5.meme;f5h2a4.af3.2.meme;f5h2a4.af3.0.meme;f5h2a4.af3.1.meme;f5h2a4.af3.3.meme	1
